date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-12-02,1.443262,1.8582,-0.090204,-1.264695,-1.264695,1.479343,1.491972,1.546696,1.353058,0.839257,0.377653,-1,55.184429289661004
2019-12-03,0.054955,0.732735,-0.238139,-1.515425,-1.515425,2.319106,2.760579,2.884533,2.833852,2.38725,1.889235,-1,54.34815072925482
2019-12-04,0.90057,0.90057,-0.422716,-0.329731,-0.329731,1.885683,2.758684,2.95779,3.058261,2.697298,2.244685,0,54.16894818059634
2019-12-05,-0.329188,0.274323,-0.694952,0.496232,0.496232,0.676664,1.965984,2.262863,2.456108,2.177762,1.773348,0,54.437752003584045
2019-12-06,0.364764,0.547146,-0.40124,0.274323,0.274323,-0.0766,1.431698,1.829898,2.070947,1.923035,1.529576,0,54.58708746079944
2019-12-09,-0.849756,0.307359,-0.994395,0.875433,0.875433,-0.987163,0.356174,0.812391,1.078467,1.060929,0.71717,1,55.06496092388869
2019-12-10,-0.752418,0.161233,-1.056969,0.922076,0.922076,-1.451093,-0.6933,-0.152872,0.100322,0.164099,-0.132569,1,55.572701478421024
2019-12-11,-0.905701,0.337418,-1.172083,0.877822,0.877822,-1.633813,-1.592968,-1.016989,-0.795596,-0.662049,-0.912212,1,56.06053063865797
2019-12-12,-0.301045,0.336462,-1.257305,0.284141,0.284141,-1.278555,-1.896582,-1.270291,-1.053657,-0.888968,-1.097338,0,56.219821793021055
2019-12-13,0.898918,1.632728,-0.165107,-3.470869,-3.470869,2.153733,1.331866,2.069345,2.3592,2.566868,2.460099,-1,54.26850515207327
